    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:01 /lib/systemd/systemd --system --deserialize 77 splash
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00 [rcu_gp]
      4 ?        I<     0:00 [rcu_par_gp]
      5 ?        I<     0:00 [slub_flushwq]
      6 ?        I<     0:00 [netns]
      7 ?        I      0:00 [kworker/0:0-events]
      8 ?        I<     0:00 [kworker/0:0H-events_highpri]
     10 ?        I      0:00 [kworker/u16:0-flush-8:0]
     11 ?        I<     0:00 [mm_percpu_wq]
     12 ?        I      0:00 [rcu_tasks_kthread]
     13 ?        I      0:00 [rcu_tasks_rude_kthread]
     14 ?        I      0:00 [rcu_tasks_trace_kthread]
     15 ?        S      0:00 [ksoftirqd/0]
     16 ?        I      0:01 [rcu_preempt]
     17 ?        S      0:00 [migration/0]
     18 ?        S      0:00 [idle_inject/0]
     19 ?        S      0:00 [cpuhp/0]
     20 ?        S      0:00 [cpuhp/1]
     21 ?        S      0:00 [idle_inject/1]
     22 ?        S      0:00 [migration/1]
     23 ?        S      0:00 [ksoftirqd/1]
     25 ?        I<     0:00 [kworker/1:0H-events_highpri]
     26 ?        S      0:00 [cpuhp/2]
     27 ?        S      0:00 [idle_inject/2]
     28 ?        S      0:00 [migration/2]
     29 ?        S      0:00 [ksoftirqd/2]
     31 ?        I<     0:00 [kworker/2:0H-events_highpri]
     32 ?        S      0:00 [cpuhp/3]
     33 ?        S      0:00 [idle_inject/3]
     34 ?        S      0:00 [migration/3]
     35 ?        S      0:00 [ksoftirqd/3]
     36 ?        I      0:00 [kworker/3:0-events]
     38 ?        S      0:00 [cpuhp/4]
     39 ?        S      0:00 [idle_inject/4]
     40 ?        S      0:00 [migration/4]
     41 ?        S      0:00 [ksoftirqd/4]
     43 ?        I<     0:00 [kworker/4:0H-events_highpri]
     44 ?        S      0:00 [cpuhp/5]
     45 ?        S      0:00 [idle_inject/5]
     46 ?        S      0:00 [migration/5]
     47 ?        S      0:00 [ksoftirqd/5]
     49 ?        I<     0:00 [kworker/5:0H-events_highpri]
     50 ?        S      0:00 [cpuhp/6]
     51 ?        S      0:00 [idle_inject/6]
     52 ?        S      0:00 [migration/6]
     53 ?        S      0:00 [ksoftirqd/6]
     55 ?        I<     0:00 [kworker/6:0H-events_highpri]
     56 ?        S      0:00 [cpuhp/7]
     57 ?        S      0:00 [idle_inject/7]
     58 ?        S      0:00 [migration/7]
     59 ?        S      0:00 [ksoftirqd/7]
     61 ?        I<     0:00 [kworker/7:0H-kblockd]
     62 ?        S      0:00 [kdevtmpfs]
     63 ?        I<     0:00 [inet_frag_wq]
     65 ?        S      0:00 [kauditd]
     66 ?        S      0:00 [khungtaskd]
     67 ?        S      0:00 [oom_reaper]
     69 ?        I<     0:00 [writeback]
     70 ?        S      0:00 [kcompactd0]
     71 ?        SN     0:00 [ksmd]
     73 ?        SN     0:00 [khugepaged]
     74 ?        I<     0:00 [kintegrityd]
     75 ?        I<     0:00 [kblockd]
     76 ?        I<     0:00 [blkcg_punt_bio]
     78 ?        I<     0:00 [tpm_dev_wq]
     79 ?        I<     0:00 [ata_sff]
     80 ?        I<     0:00 [md]
     81 ?        I<     0:00 [md_bitmap]
     82 ?        I<     0:00 [edac-poller]
     83 ?        I<     0:00 [devfreq_wq]
     84 ?        S      0:00 [watchdogd]
     85 ?        I<     0:00 [kworker/3:1H-kblockd]
     86 ?        S      0:00 [kswapd0]
     87 ?        S      0:00 [ecryptfs-kthread]
     88 ?        I<     0:00 [kthrotld]
     89 ?        I<     0:00 [acpi_thermal_pm]
     90 ?        S      0:00 [scsi_eh_0]
     91 ?        I<     0:00 [scsi_tmf_0]
     92 ?        S      0:00 [scsi_eh_1]
     93 ?        I<     0:00 [scsi_tmf_1]
     98 ?        I<     0:00 [mld]
